learning_time,query_time,n_nodes,n_edges,avg_degree,max_edge_len,success,path_length
17.585715899999997,10.6557997,1800,6712.0,7.457777777777777,0.7,0,0.0
20.748909899999994,16.012442399999998,1800,6833.0,7.592222222222222,0.7,0,0.0
20.4365569,19.571535800000007,1800,6775.0,7.527777777777778,0.7,1,19.311619439603895
20.39968429999999,23.74145139999999,1800,6836.0,7.595555555555555,0.7,0,0.0
17.726526399999983,11.344660699999991,1800,6672.0,7.413333333333333,0.7,0,0.0
18.288502300000005,21.574143300000003,1800,6632.0,7.368888888888889,0.7,1,23.71469982846336
20.271858699999996,10.869577299999975,1800,6784.0,7.5377777777777775,0.7,1,20.655128947187134
23.700266200000044,8.389123100000006,1800,6725.0,7.472222222222222,0.7,1,17.882088635638073
19.610377200000016,14.941751799999963,1800,7059.0,7.843333333333334,0.7,1,23.314080266214976
18.095381199999963,28.227925300000038,1800,6772.0,7.524444444444445,0.7,0,0.0
