learning_time,query_time,n_nodes,n_edges,avg_degree,max_edge_len,success,path_length
4.4680197,11.327722899999998,600,2254.0,7.438943894389439,0.7,1,4.512356260131403
7.096592899999997,5.496169199999997,600,2311.0,7.627062706270627,0.7,1,5.370778976425688
7.080069700000003,0.5423152000000044,600,2236.0,7.37953795379538,0.7,0,0.0
6.518128300000001,2.891198799999998,600,2207.0,7.2838283828382835,0.7,1,4.108549792506068
5.072685700000008,4.030973200000005,600,2278.0,7.518151815181518,0.7,1,5.85015123659067
6.7215487,0.812005599999992,600,2364.0,7.801980198019802,0.7,1,4.158271109555512
6.284892499999984,27.261346500000002,600,2252.0,7.432343234323432,0.7,1,4.518086385675549
6.223406700000027,3.4728944999999953,600,2229.0,7.356435643564357,0.7,1,4.759803573334289
5.457474700000006,0.13653969999998594,600,2230.0,7.35973597359736,0.7,0,0.0
4.832657300000022,30.417265999999984,600,2203.0,7.270627062706271,0.7,1,4.6808701076127655
