learning_time,query_time,n_nodes,n_edges,avg_degree,max_edge_len,success,path_length
5.204943800000002,0.6691132999999994,400,1398.0,6.99,0.7,1,5.426220638945015
3.1044459000000018,1.1485780000000005,400,1430.0,7.15,0.7,1,7.554706472056717
3.980848999999992,0.8191118000000017,400,1463.0,7.315,0.7,1,6.844867794772979
3.1468646000000007,0.1436808000000127,400,1437.0,7.185,0.7,0,0.0
3.104936600000002,0.9838740000000001,400,1432.0,7.16,0.7,1,6.655119324375029
3.2024821000000117,1.8323781999999937,400,1484.0,7.42,0.7,1,9.361699406360547
3.131292799999997,0.46042630000000884,400,1453.0,7.265,0.7,1,5.28350436491695
3.803746799999999,1.994479499999997,400,1444.0,7.22,0.7,1,8.793956314227154
3.2057073999999943,1.3848535000000055,400,1427.0,7.135,0.7,1,9.052502788984986
2.970659100000006,1.4360537000000022,400,1388.0,6.94,0.7,1,7.12077289994553
