learning_time,query_time,n_nodes,n_edges,avg_degree,max_edge_len,success,path_length,n_ct_nodes
27.239718599999996,38.865975399999996,2298,7704.0,6.704960835509138,0.1,1,1.170687486022651,15
24.434810700000014,40.194779600000004,2298,7704.0,6.704960835509138,0.1,1,1.170687486022651,15
25.976808100000028,50.066070999999994,2298,7704.0,6.704960835509138,0.1,1,1.170687486022651,15
30.595131100000003,44.45660400000003,2298,7704.0,6.704960835509138,0.1,1,1.170687486022651,15
28.111058600000035,45.61510750000002,2298,7704.0,6.704960835509138,0.1,1,1.170687486022651,15
28.983660399999962,42.79497470000001,2298,7704.0,6.704960835509138,0.1,1,1.170687486022651,15
26.915884000000005,37.85496969999997,2298,7704.0,6.704960835509138,0.1,1,1.170687486022651,15
29.634890000000098,43.84046769999998,2298,7704.0,6.704960835509138,0.1,1,1.170687486022651,15
27.909383599999956,42.379740399999946,2298,7704.0,6.704960835509138,0.1,1,1.170687486022651,15
25.95932389999996,39.57028349999996,2298,7704.0,6.704960835509138,0.1,1,1.170687486022651,15
