learning_time,query_time,n_nodes,n_edges,avg_degree,max_edge_len,success,path_length,n_ct_nodes
36.4931793,3.5833394,138,472.0,6.840579710144928,0.1,0,0.0,3
40.626348199999995,6.292593400000001,138,479.0,6.942028985507246,0.1,1,0.03450058469075116,3
39.8299406,3.1641436999999826,138,483.0,7.0,0.1,0,0.0,3
34.36605270000001,3.9869502999999895,138,486.0,7.043478260869565,0.1,0,0.0,3
38.81823170000001,13.39772529999999,138,484.0,7.0144927536231885,0.1,1,0.006407862264988457,7
41.80792020000001,14.624839299999962,138,479.0,6.942028985507246,0.1,1,0.02405192051532522,5
39.989970400000004,8.549872300000004,138,474.0,6.869565217391305,0.1,0,0.0,3
36.5082984,6.2688589999999635,138,483.0,7.0,0.1,1,0.007386281839132874,3
35.91671280000003,9.440008999999975,138,475.0,6.884057971014493,0.1,0,0.0,3
43.21308449999998,4.915599299999997,138,486.0,7.043478260869565,0.1,1,0.024232318771994124,3
