learning_time,query_time,n_nodes,n_edges,avg_degree,max_edge_len,success,path_length
37.4198686,17.953728799999993,138,449.0,6.507246376811594,0.1,1,0.014035644531098578
38.699247299999996,11.5689675,138,456.0,6.608695652173913,0.1,1,0.012615401278832396
41.94218120000001,10.47385460000001,138,461.0,6.681159420289855,0.1,1,0.012081581970995143
42.92659410000002,11.236717700000014,138,457.0,6.6231884057971016,0.1,1,0.0031420965669906164
44.07990210000003,12.025930499999959,138,442.0,6.405797101449275,0.1,1,0.012400994969789147
48.85004190000001,13.151848799999982,138,455.0,6.594202898550725,0.1,1,0.024799291166850677
55.78552500000001,9.513229899999999,138,470.0,6.811594202898551,0.1,1,0.01768370940394488
41.449023599999975,9.26065749999998,138,452.0,6.550724637681159,0.1,1,0.004185092123545351
40.41025160000004,16.895895399999915,138,467.0,6.768115942028985,0.1,1,0.013098715539795094
34.87622350000004,11.439717599999994,138,465.0,6.739130434782608,0.1,1,0.005678592121178142
