learning_time,query_time,n_nodes,n_edges,avg_degree,max_edge_len,success,path_length
88.5382763,61.618960000000015,345,1141.0,6.614492753623188,0.1,1,0.017238945214369517
92.24927019999998,58.424927,345,1133.0,6.568115942028985,0.1,1,0.024187031674691748
87.36860080000002,42.68016309999996,345,1133.0,6.568115942028985,0.1,1,0.0169854415450308
88.88739960000004,47.90464629999997,345,1150.0,6.666666666666667,0.1,1,0.028694124134946358
88.44622690000006,49.80663460000005,345,1146.0,6.643478260869565,0.1,1,0.012208015815856031
87.71411249999994,37.158807199999956,345,1120.0,6.492753623188406,0.1,1,0.026643410122197834
89.1678184000001,43.80627009999989,345,1145.0,6.63768115942029,0.1,1,0.015855535527869457
96.73128750000012,47.65729879999981,345,1124.0,6.515942028985507,0.1,1,0.020052192773238848
89.00750319999997,38.604838900000004,345,1126.0,6.527536231884058,0.1,1,0.01948396079148993
85.63188960000002,57.606621099999984,345,1139.0,6.602898550724638,0.1,1,0.028836622588289024
