learning_time,query_time,n_nodes,n_edges,avg_degree,max_edge_len,success,path_length,n_ct_nodes
87.3052294,12.139969100000002,345,1193.0,6.915942028985508,0.1,0,0.0,3
89.169946,14.917091199999987,345,1194.0,6.921739130434783,0.1,0,0.0,3
88.66204539999998,32.91948339999999,345,1178.0,6.828985507246377,0.1,0,0.0,9
89.43242369999996,10.662830600000007,345,1207.0,6.9971014492753625,0.1,0,0.0,3
87.51339760000002,22.24022690000004,345,1201.0,6.9623188405797105,0.1,0,0.0,5
87.32845069999996,11.566635499999961,345,1198.0,6.944927536231884,0.1,1,0.009683759151968716,1
86.67475210000009,12.95947359999991,345,1175.0,6.811594202898551,0.1,1,0.02849007538022697,1
87.45737889999998,13.816298599999982,345,1178.0,6.828985507246377,0.1,0,0.0,3
92.02716399999997,11.11659730000008,345,1179.0,6.834782608695652,0.1,0,0.0,3
88.4048381,17.92012210000007,345,1193.0,6.915942028985508,0.1,1,0.01471490521942841,3
