learning_time,query_time,n_nodes,n_edges,avg_degree,max_edge_len,success,path_length,n_ct_nodes
84.3782639,17.295951400000007,345,1193.0,6.915942028985508,0.1,1,0.00935815895682211,3
93.29739260000001,9.83994370000002,345,1177.0,6.823188405797102,0.1,1,0.013097403761316113,1
86.43821439999999,9.843209600000023,345,1212.0,7.026086956521739,0.1,1,0.023346267915065347,1
84.69764559999999,10.314249700000005,345,1183.0,6.857971014492754,0.1,1,0.024264750547814518,1
87.83738410000001,11.24720689999998,345,1204.0,6.9797101449275365,0.1,0,0.0,3
82.75608230000006,10.458247500000084,345,1169.0,6.776811594202899,0.1,1,0.016252476198051535,1
86.09703669999999,9.605751700000042,345,1178.0,6.828985507246377,0.1,1,0.023205325768905164,1
82.68717159999994,11.384192600000006,345,1184.0,6.863768115942029,0.1,0,0.0,3
86.50869249999994,10.401695000000018,345,1168.0,6.771014492753623,0.1,0,0.0,3
89.6563981999999,8.976823700000068,345,1190.0,6.898550724637682,0.1,0,0.0,3
