learning_time,query_time,n_nodes,n_edges,avg_degree,max_edge_len,success,path_length
15.724448599999999,1.1071291999999993,138,471.0,6.826086956521739,0.1,0,0.0
20.128146199999996,19.681462200000006,138,456.0,6.608695652173913,0.1,0,0.0
29.9103528,8.379479400000008,138,462.0,6.695652173913044,0.1,1,0.027680079969194044
38.317141099999986,21.566663000000005,138,441.0,6.391304347826087,0.1,1,0.021419962179733285
33.27280010000001,27.55667919999999,138,460.0,6.666666666666667,0.1,0,0.0
32.017400899999984,1.7553649999999834,138,455.0,6.594202898550725,0.1,0,0.0
27.297790100000043,27.734483999999952,138,457.0,6.6231884057971016,0.1,0,0.0
36.99837100000002,24.925445800000034,138,448.0,6.492753623188406,0.1,1,0.01394378346137605
31.3352931,2.5143947000000253,138,477.0,6.913043478260869,0.1,0,0.0
33.36500810000001,1.9390472000000045,138,457.0,6.6231884057971016,0.1,0,0.0
