0,1
0,7
0,8
0,2
0,14
1,0
1,2
1,8
1,9
1,7
2,9
2,1
2,3
2,10
2,8
3,2
3,10
3,4
3,9
3,11
4,5
4,11
4,3
4,12
4,10
5,4
5,12
5,6
5,11
5,13
6,13
6,5
6,12
6,4
6,20
7,8
7,0
7,14
7,1
7,15
8,7
8,15
8,9
8,1
8,14
9,10
9,2
9,8
9,16
9,1
10,9
10,17
10,3
10,11
10,2
11,12
11,18
11,4
11,10
11,19
12,11
12,19
12,13
12,5
12,4
13,12
13,20
13,6
13,5
13,19
14,15
14,21
14,7
14,22
14,8
15,14
15,22
15,8
15,16
15,21
16,23
16,15
16,9
16,17
16,22
17,18
17,10
17,24
17,16
17,11
18,17
18,19
18,11
18,25
18,24
19,26
19,18
19,12
19,20
19,11
20,27
20,13
20,19
20,26
20,12
21,14
21,22
21,28
21,15
21,29
22,15
22,23
22,21
22,29
22,14
23,16
23,24
23,22
23,30
23,15
24,25
24,23
24,31
24,17
24,18
25,32
25,24
25,26
25,18
25,33
26,19
26,25
26,33
26,27
26,32
27,20
27,26
27,34
27,19
27,33
28,35
28,21
28,29
28,36
28,22
29,22
29,30
29,36
29,28
29,37
30,37
30,31
30,29
30,23
30,24
31,38
31,30
31,24
31,32
31,25
32,25
32,33
32,31
32,39
32,26
33,32
33,26
33,34
33,40
33,25
34,41
34,33
34,27
34,26
34,40
35,36
35,42
35,28
35,43
35,29
36,35
36,43
36,29
36,37
36,42
37,30
37,44
37,36
37,38
37,29
38,39
38,31
38,45
38,37
38,46
39,40
39,46
39,38
39,32
39,33
40,39
40,47
40,33
40,41
40,46
41,48
41,34
41,40
41,47
41,33
42,43
42,35
42,36
42,44
42,28
43,42
43,36
43,44
43,35
43,37
44,37
44,43
44,45
44,36
44,38
45,38
45,44
45,46
45,37
45,39
46,39
46,47
46,45
46,40
46,38
47,48
47,46
47,40
47,41
47,39
48,47
48,41
48,40
48,46
48,34
