0,36
1,10
1,42
1,6
1,46
1,33
1,37
2,34
2,38
2,20
3,21
3,45
3,27
3,39
4,24
4,28
4,40
4,34
4,16
5,14
5,25
5,29
5,41
5,35
5,17
6,28
6,18
6,10
6,42
6,30
6,1
6,33
7,19
7,31
7,43
7,29
7,11
8,20
8,32
8,44
9,30
9,21
9,45
10,28
10,42
10,6
10,46
10,22
10,1
11,7
11,43
11,29
11,47
11,23
12,48
12,24
12,36
12,28
12,18
12,42
13,37
13,19
13,49
13,43
13,25
13,29
14,38
14,26
14,5
14,41
14,17
15,39
15,31
16,4
16,40
16,20
16,32
17,14
17,26
17,5
17,41
18,36
18,12
18,6
18,30
19,37
19,31
19,13
19,7
20,16
20,2
20,32
20,8
21,30
21,33
21,9
21,37
21,45
21,3
22,10
22,46
22,34
22,38
22,49
23,11
23,47
23,35
24,48
24,12
24,28
24,4
24,40
25,13
25,49
25,29
25,5
25,41
26,14
26,44
26,17
27,45
27,3
27,39
28,24
28,12
28,10
28,42
28,6
28,4
29,13
29,7
29,43
29,25
29,11
29,5
30,18
30,6
30,33
30,9
30,21
31,19
31,15
31,7
32,16
32,20
32,8
33,42
33,6
33,46
33,30
33,1
33,37
33,21
34,4
34,22
34,2
34,38
35,5
35,23
36,0
36,48
36,12
36,18
37,46
37,1
37,33
37,21
37,19
37,13
37,49
38,22
38,34
38,2
38,14
39,3
39,27
39,15
40,24
40,4
40,16
41,14
41,25
41,5
41,17
42,12
42,28
42,10
42,6
42,46
42,1
42,33
43,13
43,7
43,29
43,11
43,47
44,8
44,26
45,9
45,21
45,3
45,27
46,10
46,42
46,22
46,1
46,33
46,37
46,49
47,43
47,11
47,23
48,24
48,36
48,12
49,46
49,22
49,37
49,13
49,25
